gene_id	gene_name	HCT116_EpiT_01	HCT116_EpiT_02	HCT116_EpiT_03	HCT116_Epi_01	HCT116_Epi_02	HCT116_Epi_03
COL18A1-AS2	COL18A1-AS2	0	0	0	0	0	0
COL19A1	COL19A1	0	0	0	0	0	0
COL1A1	COL1A1	231	270	213	444	421	394
COL1A2	COL1A2	0	0	0	0	0	0
COL20A1	COL20A1	0	0	1	1	0	0
COL21A1	COL21A1	0	2	0	0	0	1
COL22A1	COL22A1	0	0	0	0	0	0
COL23A1	COL23A1	0	0	0	0	0	0
COL24A1	COL24A1	0	1	3	4	0	4
COL25A1	COL25A1	0	0	4	0	0	0
COL26A1	COL26A1	3	2	1	3	4	11
COL27A1	COL27A1	549.001	616.999	537	731.001	617	612.001
COL28A1	COL28A1	0	0	0	1	0	0
COL2A1	COL2A1	1	1	0	5	0	1
COL3A1	COL3A1	1	0	0	0	0	0
COL4A1	COL4A1	56	53	42	0	5	5
COL4A2	COL4A2	1	0	2	0	4	4
COL4A2-AS1	COL4A2-AS1	0	0	0	0	0	0
COL4A2-AS2	COL4A2-AS2	0	0	2	0	0	0
COL4A3	COL4A3	38	37	30	91	99	70
COL4A3BP	COL4A3BP	1613	1684	1447	1388	1450	1363
COL4A4	COL4A4	220.001	193.999	199	344.001	333	293
COL4A5	COL4A5	378	369	298	558	488.001	510
COL4A6	COL4A6	35	47	26	33	42	48
COL5A1	COL5A1	3	0	3	9	6	4
COL5A2	COL5A2	69	80	77	100	76	76
COL5A3	COL5A3	0	9	5	15	2	8
COL6A1	COL6A1	1050	1213	1073	2779	2668	2413
COL6A2	COL6A2	1944	2283	1890	2739.999	2520	2282
COL6A3	COL6A3	19	12	8	7	11	8
COL6A4P1	COL6A4P1	5	9	2	11	10	14
COL6A4P2	COL6A4P2	0	0	0	0	0	0
COL6A5	COL6A5	0	0	0	0	0	0
COL6A6	COL6A6	0	0	0	0	0	0
COL7A1	COL7A1	70	110	113	180	145	123
COL8A1	COL8A1	0	0	0	0	0	0
COL8A2	COL8A2	7	1	1	1	0	7
COL9A1	COL9A1	0	0	0	0	0	0
COL9A2	COL9A2	51	71	47	89	88	75
COL9A3	COL9A3	89	128	103	342	353	342
COLCA1	COLCA1	0	0	0	0	0	0
COLCA2	COLCA2	0	0	0	0	0	0
COLEC10	COLEC10	0	1	0	4	1	0
COLEC11	COLEC11	2	3	2	2	6	9
COLEC12	COLEC12	0	0	1	0	0	0
COLGALT1	COLGALT1	7477	8220	6585	6842	7330	6971
COLGALT2	COLGALT2	0	6	5	8	4	7
COLQ	COLQ	12	34	27	54	38	46
COMMD1	COMMD1	292	276	239	237	286	244
COMMD10	COMMD10	744	783	626	794	941	810
COMMD2	COMMD2	1361	1455	1110	1205	1314	1296
COMMD3	COMMD3	470.645	566	475	459	542	475
COMMD3-BMI1	COMMD3-BMI1	7.161	0	0	0	0	0
COMMD4	COMMD4	1542.999	1712	1320.001	1763	1731	1474.001
COMMD5	COMMD5	882.001	1006.001	910	922	879	874
COMMD6	COMMD6	460	437	427.999	456	509	502.999
COMMD7	COMMD7	391	355	310.999	449	428.001	413
COMMD8	COMMD8	530	663	431	566	697	638
COMMD9	COMMD9	552	660	492	660	646	636
COMP	COMP	1	0	0	0	0	0
COMT	COMT	1773	2111	1765	1927	2120	1879
COMTD1	COMTD1	361	397	311	390	380	342
COPA	COPA	4917	5732	4471	5646	6036	5514
COPB1	COPB1	4329	4585	3816.001	4269.999	4842	4546
