gene_id	gene_name	HCT116_EpiT_01	HCT116_EpiT_02	HCT116_EpiT_03	HCT116_Epi_01	HCT116_Epi_02	HCT116_Epi_03
A1BG	A1BG	5	1	1	4	2	2
A1BG-AS1	A1BG-AS1	3	2	2	1	0	1
A1CF	A1CF	20	12	15	15	13	10
A2M	A2M	0	0	0	1	0	0
A2M-AS1	A2M-AS1	4	6	1	9	10	6
A2ML1	A2ML1	0	1	0	0	0	0
A2MP1	A2MP1	0	1	0	0	0	0
A3GALT2	A3GALT2	0	0	0	2	0	1
A4GALT	A4GALT	629	720.999	635	781.999	805.999	807.001
A4GNT	A4GNT	0	0	0	0	0	0
AA06	AA06	0	0	0	0	0	0
AAAS	AAAS	1445	1660	1328.001	1770	1708	1702.999
AACS	AACS	385	463	379	631	614	548
AACSP1	AACSP1	61	68	80	86	72	111
AADAC	AADAC	56	44	34	28	34	24
AADACL2	AADACL2	0	0	0	0	0	0
AADACL3	AADACL3	0	0	0	0	0	0
AADACL4	AADACL4	0	0	0	0	0	0
AADAT	AADAT	457	501	417	611	631	656
AAED1	AAED1	426	488	354	393	443	421
AAGAB	AAGAB	2556	2848	2230	2344	2398.001	2258
AAK1	AAK1	1205	1406	1238	1610	1757	1776
AAMDC	AAMDC	37	41	34	26	45	33
AAMP	AAMP	4041	4487	3732	4142	4398	4158
AANAT	AANAT	0	0	0	0	2	0
AAR2	AAR2	1355	1696.999	1355	1442	1477	1349
AARD	AARD	0	0	0	1	0	0
AARS	AARS	9136	10006	8637	8668	9159	8061
AARS2	AARS2	826	993.001	903	1078	959	941
AARSD1	AARSD1	1112.785	1161	953.855	1049.062	1073.963	983.241
AASDH	AASDH	294	294.001	210.999	321	353	296.999
AASDHPPT	AASDHPPT	2706	3016	2368	2764	3053	2976
AASS	AASS	246	277	225	293	275.001	243
AATF	AATF	3436	3648	2997	2755	2886	2822
AATK	AATK	47	44	29	69	87	72
AATK-AS1	AATK-AS1	0	0	0	0	0	0
ABAT	ABAT	96	116	124	217	229	213
ABCA1	ABCA1	4	7	5	18	30	17
ABCA10	ABCA10	4	2	9	10	5.004	2
ABCA11P	ABCA11P	327	382	286	369.396	348.065	355.354
ABCA12	ABCA12	3	8	2	19	38	51
ABCA13	ABCA13	1	2	0	2	0	0
ABCA17P	ABCA17P	0	1	2	3	2	1
ABCA2	ABCA2	2409	2688	2454	4470	4357.999	3977
ABCA3	ABCA3	167	197	177	255	176	179
ABCA4	ABCA4	6	6	8	16	3	17
ABCA5	ABCA5	207	195	190	231	279	253
ABCA6	ABCA6	0	2	3	6	2	2
ABCA7	ABCA7	1147.999	1312.001	1278	1838	1692.001	1616
ABCA8	ABCA8	0	0	0	0	0	1
ABCA9	ABCA9	0	0	0	4	0	0
ABCB1	ABCB1	112	117	74	125	138	159
ABCB10	ABCB10	1145	1359	1051	1331	1633	1480
ABCB11	ABCB11	0	0	0	0	0	2
ABCB4	ABCB4	1	0	0	0	0	0
ABCB5	ABCB5	0	0	0	0	0	0
ABCB6	ABCB6	218	191	205	474	426	461
ABCB7	ABCB7	672.999	794.001	620.001	721	713	736
ABCB8	ABCB8	1047	1164.001	988.001	1130	1144	1055
ABCB9	ABCB9	213.001	261	208.001	362	354	321.999
ABCC1	ABCC1	5196.001	5992.999	4925	6235	6724.001	6541.999
ABCC10	ABCC10	706	872	680	1006.001	915	1066.999
ABCC11	ABCC11	5	4	7	2	1	7
ABCC12	ABCC12	0	0	0	0	0	3
ABCC13	ABCC13	0	0	0	0	0	0
ABCC2	ABCC2	952.999	1113	936	2920	2940.001	3169
ABCC3	ABCC3	185	162	140	675	660	531.001
ABCC4	ABCC4	3063	3535.999	2859.001	3117	3227	3221
ABCC5	ABCC5	639	685	560	902	843	843
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0
ABCC6	ABCC6	26.924	37.24	22.832	36	36.81	46.618
ABCC6P1	ABCC6P1	1.077	4.76	4	0	0	1.05
ABCC6P2	ABCC6P2	0	0	1.168	0	2.19	1.331
ABCC8	ABCC8	0	1	0	0	0	0
ABCC9	ABCC9	7	3	0	4	0	0
ABCD1	ABCD1	198	267	205	394	388	338
ABCD2	ABCD2	1	3	0	2	4	6
ABCD3	ABCD3	2606	2825	2173	3189	3563	3479
ABCD4	ABCD4	598.001	670.999	520	593	603	625
ABCE1	ABCE1	11842	12901	10234	10731	11654	11027
ABCF1	ABCF1	4060	4526	3712	3620	3883	3725
ABCF2	ABCF2	6101	6877	5597	6021.001	6119	5842
ABCF3	ABCF3	2088	2195	1757	2272	2202	2154
ABCG1	ABCG1	19	16	6	41	68	39
ABCG2	ABCG2	114	119	91	88	119	103
ABCG4	ABCG4	35	50	30	117	108	80
ABCG5	ABCG5	0	0	0	0	0	0
ABCG8	ABCG8	0	0	0	0	0	0
ABHD1	ABHD1	2	0	0	0	0	0
ABHD10	ABHD10	4374.999	4683	3928	6154	7046	6495
ABHD11	ABHD11	491	537.001	447	782.001	756.999	760.999
ABHD12	ABHD12	998.999	1116	927	1115	1204	1091
ABHD12B	ABHD12B	1	0	1	1	1	2
ABHD13	ABHD13	567	560	452	524	610	574
ABHD14A	ABHD14A	142	157	159	189.646	195	194.668
ABHD14A-ACY1	ABHD14A-ACY1	0	0	0	19.015	0	2.972
ABHD14B	ABHD14B	1070	1168	950	1148	1170.999	957.999
ABHD15	ABHD15	327	497	359	531	629	510
ABHD16A	ABHD16A	732	743	551	583	648	567
ABHD16B	ABHD16B	1	0	2	0	0	2
ABHD17A	ABHD17A	2058	2286	1864	2621	2558	2326
ABHD17B	ABHD17B	833	958.001	673	946	998	956
ABHD17C	ABHD17C	807	933	748	1036	1130	1107
ABHD2	ABHD2	2638	3058	2452	2393	2581.001	2408
ABHD3	ABHD3	943	1127	852	985	981	967
ABHD4	ABHD4	176	173	151	289	305	266
ABHD5	ABHD5	755	855	662	866	934	886
ABHD6	ABHD6	372	441.001	297	405.001	464	490.001
ABHD8	ABHD8	69	75	58	115	100	111
ABI1	ABI1	1228	1422	1104.998	1230.002	1362	1194
ABI2	ABI2	1911	2192.001	1885	2702	2895.001	2761
ABI3	ABI3	11	5	5	0	0	0
ABI3BP	ABI3BP	2	3	2	0	5	3
ABL1	ABL1	4000	4685	4006	4182	4360	4066
ABL2	ABL2	3230	4135.999	3270.002	2890.999	2953	2978.001
ABLIM1	ABLIM1	7278.999	8817.001	7033	13135.001	13952.001	12907.002
ABLIM2	ABLIM2	39	42.999	43	110	108.999	110
ABLIM3	ABLIM3	200	233	213.001	381	375	344
ABO	ABO	4	6	4	11	13	26
ABR	ABR	2614	3167	2669.001	2656	2682.001	2538.999
ABRA	ABRA	0	0	0	0	0	0
ABRACL	ABRACL	672	688	556	561	699	653
ABT1	ABT1	1591	1719	1450	1434	1506	1384
ABTB1	ABTB1	86	86.999	93.999	108	140	118.999
ABTB2	ABTB2	930	897	835	743	729	842
AC000099.1	AC000099.1	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0
AC002116.7	AC002116.7	15	13	25	16	29	20
AC002398.5	AC002398.5	0	0	0	0	0	0
AC002454.1	AC002454.1	0	3	0	2	2	1
AC002463.3	AC002463.3	0	0	0	0	0	0
AC002480.3	AC002480.3	0	0	0	0	0	0
AC002511.1	AC002511.1	0	0	0	0	0	0
AC003051.1	AC003051.1	0	0	0	0	0	0
AC003102.3	AC003102.3	10	10	15	32	27	41
AC003665.1	AC003665.1	45	51	42	37	60	53
AC003958.2	AC003958.2	2	16	2	5	4	6
AC003984.1	AC003984.1	0	0	0	0	0	0
AC004019.13	AC004019.13	3	0	1	2	1	6
AC004053.1	AC004053.1	0	0	0	0	0	0
AC004603.4	AC004603.4	0	0	0	0	0	1
AC004862.6	AC004862.6	0	0	0	0	0	0
AC004893.11	AC004893.11	136	123	128	141	111	121
AC005022.1	AC005022.1	0	0	0	0	0	0
AC005029.1	AC005029.1	0	0	0	0	0	0
AC005062.2	AC005062.2	2	1	0	1	1	1
AC005235.1	AC005235.1	0	0	0	0	0	0
AC005264.2	AC005264.2	2	2	0	2	0	0
AC005358.3	AC005358.3	0	0	0	0	0	0
AC005550.4	AC005550.4	0	0	0	0	0	0
AC005592.2	AC005592.2	14	24	23	28	21	20
AC005594.3	AC005594.3	0	1	0	2	1	1
AC006004.1	AC006004.1	0	0	0	0	0	0
AC006145.4	AC006145.4	0	0	0	0	0	0
AC006196.1	AC006196.1	0	0	0	0	0	0
AC006262.5	AC006262.5	0	0	0	2	1	3
AC006272.1	AC006272.1	6	1	4	1	1	1
AC006372.4	AC006372.4	0	0	0	0	1	0
AC007038.7	AC007038.7	25	30	9	36	20	23
AC007040.7	AC007040.7	18	50	18	40	29	42
AC007099.1	AC007099.1	3	2	8	0	0	0
AC007131.1	AC007131.1	0	0	0	0	0	0
AC007163.3	AC007163.3	0	0	0	2	0	1
AC007163.6	AC007163.6	0	1	0	1	3	0
AC007246.3	AC007246.3	40	37	30	36	47	31
AC007359.6	AC007359.6	0	0	0	0	0	0
AC007365.1	AC007365.1	0	0	0	0	0	0
AC007386.2	AC007386.2	0	0	0	0	0	0
AC007392.3	AC007392.3	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0
AC007405.4	AC007405.4	0	0	0	0	1	0
AC007461.2	AC007461.2	0	0	0	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0
AC007551.3	AC007551.3	4	3	1	6	8	5
AC007682.1	AC007682.1	0	0	0	0	0	0
AC007740.1	AC007740.1	0	0	0	0	0	0
AC007743.1	AC007743.1	1	0	0	4	1	0
AC007750.5	AC007750.5	0	0	0	0	0	0
AC007773.2	AC007773.2	25	24	25	31	28	24
AC007879.2	AC007879.2	2	0	0	0	0	0
AC007880.1	AC007880.1	0	0	0	1	0	0
AC007966.1	AC007966.1	1	0	0	0	2	0
AC008697.1	AC008697.1	12	10	14	13	13	10
AC008703.1	AC008703.1	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	1	0	0	0
AC009227.2	AC009227.2	0	0	0	0	0	0
AC009264.1	AC009264.1	0	0	0	0	0	0
AC009299.3	AC009299.3	219	227	178	252	236	256
AC009473.1	AC009473.1	1	1	0	1	1	0
AC009501.4	AC009501.4	0	0	0	0	3	1
AC009518.4	AC009518.4	0	0	0	0	0	0
AC009948.5	AC009948.5	259.999	241	194	224	185	211.001
AC010091.1	AC010091.1	0	0	0	0	0	0
AC010127.3	AC010127.3	0	0	0	0	0	0
AC010226.4	AC010226.4	0	0	0	0	0	0
AC010524.2	AC010524.2	0	1	0	0	0	0
AC010731.4	AC010731.4	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	0	0	0
AC010987.6	AC010987.6	0	0	0	0	0	0
AC011298.2	AC011298.2	0	0	0	1	1	1
AC011343.1	AC011343.1	0	0	0	0	0	0
AC011518.1	AC011518.1	0	0	0	0	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0
AC011718.2	AC011718.2	0	0	0	0	0	0
AC011738.4	AC011738.4	0	0	0	1	0	0
AC011747.4	AC011747.4	7	6	8	47	25	27
AC011747.7	AC011747.7	11	2	5	18	13	20
AC011899.9	AC011899.9	0	0	0	0	0	0
AC012075.2	AC012075.2	0	0	0	0	0	0
AC012309.5	AC012309.5	0	0	0	0	0	0
AC012314.8	AC012314.8	3	1	4	9	6	2
AC012494.1	AC012494.1	0	0	0	0	0	0
AC012507.3	AC012507.3	0	0	0	0	0	0
AC015922.6	AC015922.6	0	0	0	0	0	0
AC016582.2	AC016582.2	0	0	0	0	0	0
AC016629.8	AC016629.8	47	53	60	73	81	96
AC016738.3	AC016738.3	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	0	0	0
AC016995.3	AC016995.3	0	0	0	0	0	0
AC017060.1	AC017060.1	0	0	0	0	0	0
AC018464.3	AC018464.3	0	0	0	0	0	0
AC018470.4	AC018470.4	0	0	0	0	0	0
AC018647.3	AC018647.3	0	0	0	0	0	0
AC018705.5	AC018705.5	0	0	0	0	0	0
AC018742.1	AC018742.1	0	0	0	0	0	0
AC018799.1	AC018799.1	0	0	0	0	0	0
AC019048.1	AC019048.1	0	0	0	0	0	0
AC019118.2	AC019118.2	0	0	0	0	0	0
AC020571.3	AC020571.3	3	0	1	1	0	0
AC022007.5	AC022007.5	3	5	2	4	2	3
AC022173.2	AC022173.2	0	0	0	0	0	0
AC022311.1	AC022311.1	0	0	0	0	0	0
AC024592.9	AC024592.9	0	0	0	0	0	0
AC027269.2	AC027269.2	0	0	0	0	0	0
AC037193.1	AC037193.1	0	0	0	0	0	0
AC058791.1	AC058791.1	423	470	413	389	292	319
AC068831.10	AC068831.10	3	9	9	6	4	1
AC068858.1	AC068858.1	0	0	0	0	0	0
AC069277.1	AC069277.1	0	0	0	0	0	0
AC072062.1	AC072062.1	16	25	23	34	44	33
AC073128.10	AC073128.10	0	0	0	1	0	0
AC073133.1	AC073133.1	0	0	0	0	1	0
AC073283.4	AC073283.4	0	1	3	5	0	0
AC073321.3	AC073321.3	0	0	0	0	0	0
AC073628.1	AC073628.1	0	0	0	0	0	0
AC074138.3	AC074138.3	1	1	0	10	1	2
AC074286.1	AC074286.1	35	44	42	39	41	54
AC074289.1	AC074289.1	0	0	0	0	0	5
AC078941.1	AC078941.1	0	0	0	0	0	0
AC079117.1	AC079117.1	0	0	0	0	0	0
AC079145.4	AC079145.4	3	0	0	0	0	1
AC079586.1	AC079586.1	0	0	0	0	1	0
AC079610.2	AC079610.2	0	0	0	0	0	0
AC079776.3	AC079776.3	0	0	0	0	0	0
AC087859.1	AC087859.1	1	1	0	0	0	0
AC090044.1	AC090044.1	0	0	0	0	0	0
AC090505.6	AC090505.6	4	2	2	1	5	7
AC091729.9	AC091729.9	198.001	208.001	161	208	214.999	208
AC091878.1	AC091878.1	0	1	0	0	0	0
AC091969.1	AC091969.1	0	0	0	0	0	0
AC092295.7	AC092295.7	0	0	0	0	0	0
AC093375.1	AC093375.1	40	32	27	63	37	56
AC093391.2	AC093391.2	14	16	14	7	9	20
AC093590.1	AC093590.1	0	0	0	0	0	0
AC093690.1	AC093690.1	0	0	0	0	0	0
AC095067.1	AC095067.1	0	0	0	2	0	0
AC096559.1	AC096559.1	0	1	0	0	0	0
AC097468.4	AC097468.4	1	2	1	0	4	1
AC097500.2	AC097500.2	0	1	3	3	2	3
AC097662.2	AC097662.2	8	12	18	6	7	9
AC098823.3	AC098823.3	3	9	10	6	8	3
AC099342.1	AC099342.1	0	0	0	0	0	0
AC104024.1	AC104024.1	0	0	0	0	0	0
AC104134.2	AC104134.2	0	0	0	0	0	0
AC104653.1	AC104653.1	1	1	0	1	0	3
AC104654.1	AC104654.1	0	0	0	0	0	0
AC104654.2	AC104654.2	0	0	0	0	0	0
AC104655.2	AC104655.2	0	0	0	0	0	0
AC104777.2	AC104777.2	0	0	0	0	0	0
AC104777.4	AC104777.4	0	0	0	0	0	0
AC104820.2	AC104820.2	0	0	0	0	0	0
AC105053.3	AC105053.3	0	0	0	3	2	0
AC105253.1	AC105253.1	0	0	0	0	0	0
AC105339.1	AC105339.1	1	1	0	0	0	0
AC105760.3	AC105760.3	0	0	2	2	1	6
AC107070.1	AC107070.1	0	0	0	0	0	0
AC107622.1	AC107622.1	0	0	1	0	0	0
AC108142.1	AC108142.1	0	0	0	0	0	0
AC109828.1	AC109828.1	0	0	0	0	0	0
AC113607.2	AC113607.2	0	0	0	0	0	0
AC116035.1	AC116035.1	0	0	0	0	0	0
AC125421.1	AC125421.1	0	0	0	0	0	0
AC131097.3	AC131097.3	0	0	0	2	1	2
AC136896.1	AC136896.1	0	0	0	0	0	0
AC137932.6	AC137932.6	5	17	4	16	22	21
AC144449.1	AC144449.1	0	0	1	1	3	0
AC145110.1	AC145110.1	0	0	0	0	0	0
AC147651.4	AC147651.4	2	0	0	0	0	0
AC159540.1	AC159540.1	9.192	14.196	17.331	5.899	16.275	13.979
AC159540.1-2	AC159540.1	90.808	108.804	101.249	132.541	115.725	119.021
AC226118.1	AC226118.1	0	0	0	0	0	0
ACAA1	ACAA1	645.001	769	598.001	911	976	851
ACAA2	ACAA2	321	313	279	445	487	418
ACACA	ACACA	8681.999	9852	8312	11087.001	11001.001	10752
ACACB	ACACB	196	218	178	394	353	364
ACAD10	ACAD10	277	319	240	379	397	314
ACAD11	ACAD11	529.463	669.064	507.261	690.326	675.762	583.528
ACAD8	ACAD8	368	401	380	483	485	492
ACAD9	ACAD9	1218	1368	1106	1517	1455.001	1338
ACADL	ACADL	0	0	0	0	0	0
ACADM	ACADM	989	1029	842	1048	1168	1176
ACADS	ACADS	292	326	282	434	431	369
ACADSB	ACADSB	950	1069	817	1252	1374	1366
ACADVL	ACADVL	3353	3662	3055	3786	3693	3384
ACAN	ACAN	0	0	0	0	0	0
ACAP1	ACAP1	22	18	8	15	6	3
ACAP2	ACAP2	2540	2668	2120	2662	2967	2991
ACAP3	ACAP3	628	819.999	688	1132.001	1096	1015
ACAT1	ACAT1	1802	1962	1524	1856	2212.001	1964
ACAT2	ACAT2	1210	1260	1030	1648	1803	1715
ACBD3	ACBD3	2075	2117	1713	1884	2116	2021
ACBD4	ACBD4	27	31	29	42	37	42
ACBD5	ACBD5	1211	1392	1060.001	1302.999	1269	1235.999
ACBD6	ACBD6	1279	1371	1137	1340	1367	1194
ACBD7	ACBD7	89	91	97	99	137	119
ACCS	ACCS	23	37	63	57	49	56
ACCSL	ACCSL	2	4	4	0	1	1
ACD	ACD	1029.999	1145	960	1199.999	1286	1075.001
ACE	ACE	21	37	28	104	108	111
ACE2	ACE2	8	2	8	0	0	0
ACER1	ACER1	0	0	0	0	0	1
ACER2	ACER2	96	101	88	137	93	113
ACER3	ACER3	1025	1110.999	943	1016.001	1050	1042
ACHE	ACHE	38	69	42	55	59	53.999
ACIN1	ACIN1	7321	8137	6506.999	7901	8062.001	7555.001
ACKR2	ACKR2	3	9	1	3	4	8
ACKR3	ACKR3	3	2	1	1	2	0
ACKR4	ACKR4	1	1	1	7	3	5
ACLY	ACLY	13995	16016	12913.001	16943.001	17602.999	16248.001
ACMSD	ACMSD	0	0	0	0	0	0
ACN9	ACN9	363	405	298	338	373	335
ACO1	ACO1	1454	1687.001	1370	2186	2397	2242
ACO2	ACO2	3657	3978	3145	3853	4165	3527
ACOT1	ACOT1	0	0	0	0	0	0
ACOT11	ACOT11	294	361	313	588	639	642
ACOT12	ACOT12	0	0	0	0	0	0
ACOT13	ACOT13	579	689	546	627	683	645
ACOT2	ACOT2	6	2	1	0	0	1
ACOT4	ACOT4	0	0	0	0	0	0
ACOT6	ACOT6	0	0	0	0	0	0
ACOT7	ACOT7	3621	4229.999	3282	4374	4400	4060
ACOT8	ACOT8	156	158	131	191.001	208.999	196
ACOT9	ACOT9	1554.999	1722	1459	1202	1417	1226
ACOX1	ACOX1	2085	2310	1874	3067	3303	3198
ACOX2	ACOX2	79	87	74	76	75	65
ACOX3	ACOX3	412.001	441	369	413	483	483
ACOXL	ACOXL	42	61	41	78	77	62
ACP1	ACP1	2933	3219	2453	2679.999	3059.999	2743.999
ACP2	ACP2	712.001	712	608.999	648.999	634.001	548
ACP5	ACP5	0	0	0	0	0	0
ACP6	ACP6	163	190	125	239	229	237
ACPL2	ACPL2	309	443.001	379.001	564.001	635	527
ACPP	ACPP	0	1	0	1	0	0
ACPT	ACPT	0	0	0	0	0	0
ACR	ACR	4	7	3	9	2	3
ACRBP	ACRBP	1	1	0	11	1	4
ACRC	ACRC	32	26	22	34	34	34
ACRV1	ACRV1	5	0	0	0	0	0
ACSBG1	ACSBG1	0	1	1	8	5	10
ACSBG2	ACSBG2	4	5	3	2	6	4
ACSF2	ACSF2	138.001	192	172	313.999	279	306
ACSF3	ACSF3	1548	1759.999	1544	1720	1869.999	1710
ACSL1	ACSL1	588	651	494	807	950	936
ACSL3	ACSL3	3366	3698	2924	4402	4799	4724
ACSL4	ACSL4	4150	4634.001	3689.999	3085.999	3563.001	3383.001
ACSL5	ACSL5	10706.999	11639.999	9145	4362	4584	4149
ACSL6	ACSL6	31	16	14	51	53	31
ACSM1	ACSM1	0	1	0	1	0	0
ACSM2A	ACSM2A	0	0	0	0	0	0
ACSM2B	ACSM2B	0	0	0	0	0	0
ACSM3	ACSM3	42	34	34	72	63	46
ACSM4	ACSM4	0	0	0	0	0	0
ACSM5	ACSM5	0	0	0	0	0	0
ACSS1	ACSS1	1	2	0	0	0	0
ACSS2	ACSS2	601	704	563	705	716	688
ACSS3	ACSS3	0	0	0	0	0	0
ACTA1	ACTA1	3	2	5	6	0	4
ACTA2	ACTA2	29	53	36	80	67	71
ACTA2-AS1	ACTA2-AS1	1	0	0	0	0	3
ACTB	ACTB	110989.866	123920.748	103589.472	119645.274	122544.238	115891.667
ACTBL2	ACTBL2	2	0	1	2	1	3
ACTC1	ACTC1	0	0	0	0	0	0
ACTG1	ACTG1	174089.13	193557.245	160084.52	175959.722	189615.758	175736.325
ACTG1P4	ACTG1P4	1	0	0	1	0	0
ACTG2	ACTG2	1	0	0	0	1	1
ACTL10	ACTL10	1	2	0	6	1	0
ACTL6A	ACTL6A	1491	1612	1363	1600	1662	1529
ACTL6B	ACTL6B	0	0	0	0	0	1
ACTL7A	ACTL7A	0	0	0	0	0	0
ACTL7B	ACTL7B	0	5	0	0	0	0
ACTL8	ACTL8	60	60	35	34	26	30
ACTL9	ACTL9	0	0	0	0	0	0
ACTN1	ACTN1	6907	8019	6503.473	8984	9077	8616.459
ACTN1-AS1	ACTN1-AS1	0	0	0	0	0	0
ACTN2	ACTN2	0	1	2	4	3	2
ACTN3	ACTN3	0	0	1	0	0	0
ACTN4	ACTN4	24269	27444.999	22399.528	31617.001	32560	30789.54
ACTR10	ACTR10	761	829	575	854	898	871
ACTR1A	ACTR1A	4078	4701	3876	4763	4844	4458
ACTR1B	ACTR1B	645	634	496	739	773	624
ACTR2	ACTR2	10295	12075	9527	10970	12508	11974
ACTR3	ACTR3	6997	7804	6509	6853	7876	7239
ACTR3B	ACTR3B	535.146	572.404	448.443	636.824	657.133	642.131
ACTR3BP2	ACTR3BP2	0	0	0	0	0	0
ACTR3BP5	ACTR3BP5	0	0	0	0	0	0
ACTR3C	ACTR3C	9.855	7.597	7.558	22.175	9.868	26.87
ACTR5	ACTR5	722	850	774.999	1034	1044	1058.999
ACTR6	ACTR6	717.999	724	624.001	571	728	681
ACTR8	ACTR8	942	1064	948	1166	1307	1193
ACTRT1	ACTRT1	0	0	0	0	0	0
ACTRT2	ACTRT2	0	0	0	0	0	0
ACTRT3	ACTRT3	119	97	88	93	100	88
ACVR1	ACVR1	480	615	501	566	582	568
ACVR1B	ACVR1B	1213	1461	1113	1361	1390	1318
ACVR1C	ACVR1C	65	68	54	68	74	68
ACVR2A	ACVR2A	410.001	440.001	354.999	498	522	516.999
ACVR2B	ACVR2B	1031	1228	1055	1406	1605	1498
ACVR2B-AS1	ACVR2B-AS1	9	4	4	9	3	9
ACVRL1	ACVRL1	7	19	18	16	19	34
ACY1	ACY1	354	338	302	467.338	493	404.36
ACY3	ACY3	14	5	23	2	0	0
ACYP1	ACYP1	146.001	166	137.999	128	106	130.999
ACYP2	ACYP2	86	57	58	59	73	71
AD000090.2	AD000090.2	171	214	206	191	198	178
ADA	ADA	430	397.999	406	466	477	432.999
ADAD1	ADAD1	0	0	0	0	0	0
ADAD2	ADAD2	0	0	0	0	0	0
ADAL	ADAL	80	91.999	75	125.001	116	100.001
ADAM10	ADAM10	3186	3846	3034	4507	5011	5011
ADAM11	ADAM11	161	201	204	275	272	239
ADAM12	ADAM12	2	0	0	0	0	0
ADAM15	ADAM15	2777.999	3099	2707	3121.999	3309	2882
ADAM17	ADAM17	1422	1577	1261	1394	1431	1442
ADAM18	ADAM18	0	0	0	0	0	0
ADAM19	ADAM19	2532	2859	2550	5238	5281	5015
ADAM1A	ADAM1A	95	108	93	122	96	85
ADAM2	ADAM2	0	0	0	0	0	0
ADAM20	ADAM20	3	2	11	9	9	8
ADAM20P1	ADAM20P1	3	1	1	2	5	2
ADAM21	ADAM21	74.466	66.751	87.784	69	81.428	79.318
ADAM21P1	ADAM21P1	5.534	3.249	3.216	7	1.572	2.682
ADAM22	ADAM22	353	368.999	390.001	585.001	603	631
ADAM23	ADAM23	0	0	0	1	0	5
ADAM28	ADAM28	0	0	0	1	0	0
ADAM29	ADAM29	0	0	0	0	0	0
ADAM30	ADAM30	0	0	0	0	0	0
ADAM32	ADAM32	32	33	22	30	45	32
ADAM33	ADAM33	0	0	0	0	0	0
ADAM3A	ADAM3A	0	0	0	0	0	0
ADAM5	ADAM5	0	0	0	0	0	0
ADAM7	ADAM7	0	0	0	0	0	0
ADAM8	ADAM8	38	25	23	44	27	28
ADAM9	ADAM9	6778.001	7514	6239	7823.001	8033	8041
ADAMDEC1	ADAMDEC1	0	0	0	0	0	0
ADAMTS1	ADAMTS1	2	0	0	0	0	0
ADAMTS10	ADAMTS10	52	32	24	78	60.999	57
ADAMTS12	ADAMTS12	0	0	0	0	0	0
ADAMTS13	ADAMTS13	35	52	59	81	71	52
ADAMTS14	ADAMTS14	317	303	290	574	467	473
ADAMTS15	ADAMTS15	22	29	43	80	79	60
ADAMTS16	ADAMTS16	64	73	64	51	62	45
ADAMTS17	ADAMTS17	115	123	112	164	148	148
ADAMTS18	ADAMTS18	0	0	0	0	0	0
ADAMTS19	ADAMTS19	0	0	0	0	0	0
ADAMTS2	ADAMTS2	17	36	15	62	77	61
ADAMTS20	ADAMTS20	0	0	0	0	0	2
ADAMTS3	ADAMTS3	0	0	0	0	0	0
ADAMTS4	ADAMTS4	2	1	0	1	1	2
ADAMTS5	ADAMTS5	0	0	0	0	0	0
ADAMTS6	ADAMTS6	19	43	22	24	28	21
ADAMTS7	ADAMTS7	115	196	145	423	395	371
ADAMTS7P1	ADAMTS7P1	0	0	0	2	0	0
ADAMTS8	ADAMTS8	0	0	0	0	0	0
ADAMTS9	ADAMTS9	0	0	0	1	1	0
ADAMTS9-AS2	ADAMTS9-AS2	0	0	0	0	0	0
ADAMTSL1	ADAMTSL1	0	0	1	0	0	0
ADAMTSL2	ADAMTSL2	0	0	0	0	0	1
ADAMTSL3	ADAMTSL3	0	0	1	0	0	0
ADAMTSL4	ADAMTSL4	16	32	20.001	38	23	40
ADAMTSL4-AS1	ADAMTSL4-AS1	15	14	15	28	18	22
ADAMTSL5	ADAMTSL5	189	251	163	260	266	248
ADAP1	ADAP1	825	872	725	1022	943	935
ADAP2	ADAP2	438	511.178	402	516	585	627.001
ADAR	ADAR	23697	28384.999	23361	16192	16946.001	16435.999
ADARB1	ADARB1	491.999	554	511.999	721	724.001	715.999
ADARB2	ADARB2	0	0	0	0	0	0
ADARB2-AS1	ADARB2-AS1	0	0	0	0	0	0
ADAT1	ADAT1	624	753	553	752	740	724
ADAT2	ADAT2	977	992	849	789	766	765
ADAT3	ADAT3	479	571	470	626	578	684
ADC	ADC	44	64	57.999	117	119.001	91.999
ADCK1	ADCK1	177	156.001	154	239.999	248	221
ADCK2	ADCK2	659	671	505	695	673	669
ADCK3	ADCK3	1014	1207	960	1111	1178	1158
ADCK4	ADCK4	506.923	603	479	603.957	610	566.919
ADCK5	ADCK5	211	234.001	296.001	444	369.999	334
ADCY1	ADCY1	0	0	0	0	1	0
ADCY10	ADCY10	2	0	0	1	0	1
ADCY10P1	ADCY10P1	24	8.006	18	16.012	18	19.013
ADCY2	ADCY2	0	0	0	0	0	0
ADCY3	ADCY3	1992	2263	1854	2265	2269	2122
ADCY4	ADCY4	0	0	0	0	0	0
ADCY5	ADCY5	1	2	3	5	3	1
ADCY6	ADCY6	586	738	625	958.999	897	895
